sale_date,address,lot,property_type,rooms,floor,square_meters,price,difference_rate,latitude,longitude
30.03.2023,אשרמן יוסף 15,6163-39-35,דירה בבית קומות,2,ראשונה,46,1818000,,32.058686,34.808393
30.03.2023,זימן 24,6167-232-7,דירה בבית קומות,4,שלישית,64.15,285000,,32.077799,34.800894
30.03.2023,זימן 24,6167-232-9,דירה בבית קומות,4,רביעית,62.66,385000,,32.077799,34.800894
30.03.2023,פרזון 7,6134-622-21,דירה בבית קומות,3,שלישית,42,2927000,,32.055052,34.797589
30.03.2023,מטלון 75,6948-113-25,דירה בבית קומות,2,רביעית,43.20,2225000,,32.057758,34.776091
30.03.2023,קלישר 22,7228-2-6,דירה בבית קומות,3,שלישית,84.62,6400000,,32.066242,34.768219
30.03.2023,זימן 24,6167-232-8,דירה בבית קומות,4,ד'  ,80000,,,32.077799,34.800894
30.03.2023,צרעה 2,7242-24-84,דירה בבית קומות,3,רביעית,48.60,2100000,,32.04663,34.80962
30.03.2023,האמוראים 12,7223-62-8,דירה בבית קומות,5,שניה,114,2834999,,32.115613,34.794092
30.03.2023,,6970-63-5,דירה בבית קומות,3,חמישית,82,3474000,
30.03.2023,קרליבך 4,7104-289-625,חניה,0,,215000,,,32.067257,34.783675
30.03.2023,,6634-15-12,,2,שביעית,41,3600000,
30.03.2023,ארבר מנחם 45,7055-33-102,דירה בבית קומות,4,שניה,88.55,2400000,,32.044536,34.767888
30.03.2023,דיזנגוף 14,7091-14-18,דירה בבית קומות,5,ה 2,130.20,9350000,,32.074222,34.779441
30.03.2023,,6634-15-10,,4,רביעית,79,5500000,
30.03.2023,הרצל 116,7082-1-28,דירה בבית קומות,5,שתים עשרה,137,7100000,,32.054357,34.770579
30.03.2023,הראש 1,7052-57-60,דירה בבית קומות,2,חמש עשרה,41,2815000,,,
30.03.2023,העליה 56,7084-189-2,ללא תיכנון,0,,800000,,,,
30.03.2023,מוסינזון 16,6213-85-1,דירה בבית קומות,4,מרתף,114,8500000,,32.089451,34.783581
30.03.2023,,6634-15-25,דירה בבית קומות,2,שניה,41,3200000,
30.03.2023,אלמגור 14,7321-45-5,דירה בבית קומות,3,שניה,52.90,2525000,,32.119149,34.842993
30.03.2023,,6135-397-1,קרקע למגורים,0,,3869000,,
30.03.2023,זימן 24,6167-232-4,דירה בבית קומות,4,שניה  ,226000,,,32.077799,34.800894
30.03.2023,,6634-15-11,,3,שניה,65,4560000,
30.03.2023,עירית 4,7075-62-19,דירה בבית קומות,3,חמישית,58.71,2040000,,32.034801,34.75029
29.03.2023,נחלת יצחק 9,7093-49-48,דירה בבית קומות,1,ראשונה,49,5967000,,32.075124,34.796896
